dimension;identifier;name_eng;desc_eng;synonyms_eng;name_swe;desc_swe;synonyms_swe
Grundfunktioner och Komponenter;UBB;hanger;carrying object at a discrete position by hanging;strap, string, hanging bracket;Hängare;uppbärandeobjekt i en diskret punkt genom hängning;armaturkrona, brokabel, bärkabel, bärtråd, hängkedja, hängverk, kabelkedja, kedja, klädkrok, krokbräda, kätting, rännkrok, skyltbrygga, spännkedja, stolparm, tavellist, undertakspendel, undertaksprofil, undertaksväggskena, upphängningsvajer, utliggare, väggskena
Grundfunktioner och Komponenter;UBC;tread;carrying object at a discrete position by steps;rung, step;Trappsteg;uppbärandeobjekt i en diskret punkt genom steg;blocksteg, stegpinne
Grundfunktioner och Komponenter;UBD;mast;carrying object at a discrete position by lifting;electricity pylon, pole, post, supporting bracket, transmission tower;Stolpe;uppbärandeobjekt i en diskret punkt genom lyftning;baluster, belysningsstolpe, flaggstång, konsol, kontaktledningsstolpe, kraftledningsstolpe, mast, stativ, stålbåge, ståndare, trappspindel, trappstock
Grundfunktioner och Komponenter;UBE;Carrying furniture;supporting objects for a certain level by lifting;workbench, table, bunk, bench, countertop, worktop, counter, divan, armchair, stool, park table, park bench, platform, break furniture, reception counter, serving counter, sofa, chair, ironing board, ironing board, standing table, bed;Bärmöbel;uppbärande objekt för viss nivå genom lyftning;arbetsbänk, bord, brits, bänk, bänkbord, bänkskiva, disk, divan, fåtölj, pall, parkbord, parkbänk, plattform, rastmöbel, receptionsdisk, serveringsdisk, soffa, stol, strykbord, strykbräda, ståbord, säng
Grundfunktioner och Komponenter;UBF;Portal;supporting objects through two posts with connecting horizontal rafters;;Portal;uppbärandeobjekt  genom två stolpar med förbindande horisontell överliggare;
Grundfunktioner och Komponenter;UC;Enclosing objects;holding objects by enclosing;;Omslutande objekt;hållande objekt genom omslutning ;
Grundfunktioner och Komponenter;UCA;Appliance cabinet;enclosing objects for appliances;connection box, device box, device box, box, electrical cabinet, installation cabinet, cable meter cabinet, cable cabinet, encapsulated central, junction box, junction box, meter cabinet, rack, ignition, alternating heating cabinet;Apparatskåp;omslutande object för apparater;anslutningsdosa, apparatdosa, apparatlåda, dosa, elskåp, installationsskåp, kabelmätarskåp, kabelskåp, kapslad central, kopplingsbox, kopplingsdosa, mätarskåp, rack, tändplats, växelvärmeskåp
Grundfunktioner och Komponenter;UCB;Plant soil;enclosing objects for plant roots;;Växtjord;omslutande object för växtrötter;
Grundfunktioner och Komponenter;UCC;Ventilation hood;partially enclosing object for point ventilation;draft hood, draft cabinet, kitchen cabinet, clean air bench, cooker hood, safety bench, ventilated storage unit;Ventilationshuv;delvis omslutande object för punktventilation;draghuv, dragskåp, kökskåpa, renluftsbänk, spiskåpa, säkerhetsbänk, ventilerad förvaringsenhet
Grundfunktioner och Komponenter;UCD;Device well;enclosing objects for devices in the ground or floor;measuring well, valve well;Apparatbrunn;omslutande objekt för anordningar i mark eller golv;mätbrunn, ventilbrunn
Grundfunktioner och Komponenter;UE;structural object in ground;holding object for foundation;;Byggkonstruktivt objekt i mark;hållande objekt för grundläggning;
Grundfunktioner och Komponenter;UEA;base course;structural object in ground in form of a laying plane transferring transverse loads to ground;aggregate base, base layer;Bärande skikt;markkonstruktivt objekt i form av ett liggande plan som överför för transversallaster till mark;bottenplatta, bärlager, fördelningsplatta, grundplatta, platta på mark, grundsula, ledningsbädd, skelettjord, spårballast, överballast
Grundfunktioner och Komponenter;UEB;pile ;structural object in ground in elongated form transferring axial loads to ground;building foundation, bridge pylon, plinth;Markfundament;byggnadskonstruktivt fundament stående långsträckt form som överför laster till marken;fundament, grundfundament, pelarholk, plint, påle
Grundfunktioner och Komponenter;UEC;sleeper;structural object in ground in elongated form transferring transversal loads to ground;bridge grinder, line grinder;Sliper;markkonstruktivt objekt i långsträckt form som överför transversallaster till mark;brosliper, linjesliper
Grundfunktioner och Komponenter;UED;binding layer;structural object in ground in form of a lying plane transferring shear force;bedding layer, paver base, sand bedding, setting mortar, setting sand;Bindlager;markkonstruktivt objekt i form av ett liggande plan som tar upp skjuvkrafter;sättbruk, sättsand
Grundfunktioner och Komponenter;UF;Vertical building construction object;holding objects that form structural support in the vertical direction;;Vertikalt byggkonstruktivt objekt;hållande objekt som formar strukturellt stöd i vertikal riktning;
Grundfunktioner och Komponenter;UFB;Pillar;vertically load-transferring objects in elongated shape that transfer axial compressive loads vertically to other structural objects 	;balusters, trusses, column, pylon, rule, turntables, support legs, stamp, intermediate support;Pelare;vertikalt lastöverförande objekt i långsträckt form som överför axiella trycklaster vertikalt till andra strukturella objekt;baluster, fackverkspelare, kolonn, pylon, regel, skivpelare, stödben, stämp, mellanstöd
Grundfunktioner och Komponenter;UFC;Load-bearing retaining wall;vertical load transfer objects in the form of a standing plane that transfers vertical and transverse loads;"front wall, gravel change, basement wall frame, storage pallet, land anchor 	
";Bärande stödmur;vertikalt lastöverförande objekt i form av ett stående plan som överför vertikala och transversala laster;frontmur, grusskifte, källarväggstomme, lagerpall, landfäste
Grundfunktioner och Komponenter;UFD;Wall core;vertical load transfer objects in the form of a standing plane that transfers only vertical loads;foundation wall, masonry, board, wall wall, wall regulations, wall frame board, wall frame;Väggkärna;vertikalt lastöverförande objekt i form av ett stående plan som överför enbart vertikala laster;grundmur, murverk, skiva, väggmur, väggregelverk, väggstomskiva, väggstomme
Grundfunktioner och Komponenter;UFE;Retaining wall;vertical load transfer objects in the form of a standing plane that transfers transverse loads;quay wall, sheet metal on steel arches, secant pole, slit wall, sheet piling, stone-filled net basket, tree pit foundation, wing wall;Stödmur;vertikalt lastöverförande objekt i form av ett stående plan som överför transversala laster;kajmur, plåt på stålbågar, sekantpåle, slitsmur, spont, stenfylld nätkorg, trädgropsfundament, vingmur
Grundfunktioner och Komponenter;UG;Horizontal building constructive object;holding objects that form structural support in the horizontal direction;;Horisontellt byggkonstruktivt objekt;hållande objekt som formar strukturellt stöd i horisontell riktning;
Grundfunktioner och Komponenter;UGA;Beam;horizontal building structural object in elongated shape that transfers primarily transverse loads to other structural objects;boomerang beam, supporting rope, truss beam, foundation beam, hammer band, edging beam, curved beam, inverted saddle beam, pulpit beam, straight beam, saddle beam, awl, truss, traverse beam, four-part beam, pitched beam;Balk;horisontellt byggkonstruktivt objekt i långsträckt form som överför primärt transversallaster till andra strukturella objekt;bumerangbalk, bärlina, fackverksbalk, grundbalk, hammarband, kantbalk, krökt balk, omvänd sadelbalk, pulpetbalk, rak balk, sadelbalk, syll, takstol, traversbalk, vierendeelbalk, votad balk
Grundfunktioner och Komponenter;UGB;Load bearing plate;horizontal building construction object in the form of a horizontal plane that transfers transverse loads to other structural objects;balcony slab, floor slab, bridge deck slab, distribution slab, hollow deck element, attic walkway slab, solid element, slab base, pile deck, pile foundation, pile plinth, pile slab;Bärande platta;horisontellt byggkonstruktivt objekt i form av ett liggande plan som överför transversallaster till andra strukturella objekt;balkongplatta, bjälklagsplatta, brobaneplatta, fördelningsplatta, håldäckselement, loftgångsplatta, massivelelement, plattbärlag, påldäck, pålfundament, pålplint, pålplatta
