dimension;identifier;name_eng;desc_eng;synonyms_eng;name_swe;desc_swe;synonyms_swe
Konstruktiva system;BBB;Slab on ground structure;foundation structure in form of a stiff laying plane;Slab-on-grade;Grundplatta;grundstomme i form av ett styvt liggande plan;Platta på mark
Konstruktiva system;BBC;Ground wall structure;foundation structure in form of a standing plane;;Grundmur;grundstomme i form av ett stående plan;
Konstruktiva system;BBD;Plinth foundation structure;foundation structure in form of standing elongated objects;;Plintgrund;grundstomme i form av  vertikalt långsträckta objekt;
Konstruktiva system;BBE;Ground bed foundation structure;foundation structure in form of a flexible laying plane;brush mat, corduroy mat, fascine work;Rustbädd;grundstomme i form av ett flexibelt liggande plan;
Konstruktiva system;BC;Slab structure;structural system in a horizontal separation;Bridge track frame, jetty frame;Bjälklagsstomme;bärverk i en horisontell avskiljare;Brobanestomme, bryggstomme
Konstruktiva system;BCB;Solid slab structure;slab structure in form of a laying plane;solid plate, hollow core deck, flat floor, flat bridge, flat support layer, flat frame bridge, trough beam bridge;Bjälklagsskiva;bjälklagsstomme i form av ett liggande plan;massivplatta, håldäck, plattbjälklag, plattbro, plattbärlag, plattrambro, trågbalkbro
Konstruktiva system;BCC;Beam slab structure;slab structure in form of elongated objects;Beam joists, beam frame bridge, beam bridge;Bjälklagsstomme av balkar;bjälklagsstomme i form av långsträckta objekt;Balkbjälklag, balkrambro, balkbro
Konstruktiva system;BCD;Truss slab structure;slab structure in form of a framework of joint members;Arch bridge, truss bridge, suspension bridge, sloping cable bridge;Bjälklagsstomme av fackverk;bjälklagsstomme i form av förenade och samverkande stänger;Bågbro, fackverksbro, hängbro, snedkabelbro
Konstruktiva system;BCE;Sandwich slab structure;slab structure in form of multiple layers;;Bjälklagsstomme av sandwichkonstruktion;bjälklagsstomme i form av flera skikt;
Konstruktiva system;BCF;Masonry slab structure;slab structure in form of blocks;;Murad bjälklagsstomme;bjälklagsstomme i form av block;Valvbro
Konstruktiva system;BD;Wall structure;structural system in a vertical separation;;Väggstomme;bärverk i en vertikal avskiljare;
Konstruktiva system;BDB;Solid wall structure;wall structure in form of a standing plane;Retaining wall frame, dust wall frame, quay wall frame, pier wall frame, pipe bridge frame, sheet piling;Väggskiva;väggstomme i form av ett stående plan;Stödmursstomme, dammväggsstomme, kajväggsstomme, pirväggsstomme, rörbrostomme, spont
Konstruktiva system;BDC;Column wall structure;wall structure in form of elongated objects;;Pelarväggstomme;väggstomme i form av långsträckta objekt;
Konstruktiva system;BDD;Truss wall structure;wall structure in form of a framework of joint members;;Fackverksväggstomme;väggstomme i form av förenade och samverkande stänger;Regelväggstomme
Konstruktiva system;BDE;Sandwich wall structure;wall structure in form of multiple layers;;Sandwichväggstomme;väggstomme i form av flera skikt;
Konstruktiva system;BDF;Masonry wall structure;wall structure in form of blocks;;Murad väggstomme;väggstomme i form av block;
Konstruktiva system;BE;Roof structure;Structural system terminating a construction entity upwards;Outer joist frame;Yttertakstomme;bärverk i en yttertakskonstruktion;Ytterbjälklagsstomme
Konstruktiva system;BEB;Solid roof structure;construction entity upwards;Solid outer joist frame;Solid yttertaksstomme;yttertakstomme i form av ett solitt skikt;Solid ytterbjälklagsstomme
Konstruktiva system;BEC;Beam roof structure;roof structure in form of elongated objects;Exterior joist frame of beams;Yttertaksstomme av balkar;yttertakstomme i form av långsträckta objekt;Ytterbjälklagsstomme av balkar
Konstruktiva system;BED;Truss roof structure;roof structure in form of a framework of joint members;Exterior joist frame of trusses, membrane roof, canvas roof, truss frame;Yttertaksstomme av fackverk;yttertakstomme i form av förenade och samverkande stänger;Ytterbjälklagsstomme av fackverk, membrantak, segeldukstak, takstolsstomme
Konstruktiva system;BEE;Sandwich roof structure;roof structure in form of multiple layers;Outer floor frame of sandwich construction;Yttertaksstomme av sandwichkonstruktion;yttertakstomme i form av flera skikt;Ytterbjälklagsstomme av sandwichkonstruktion
Konstruktiva system;BEF;Masonry roof structure;roof structure in form of blocks;;Murad yttertakstomme;yttertakstomme i form av block;valvtak
Konstruktiva system;BEG;Movable roof structure;Movable roof structure;;Rörlig yttertakstomme;rörlig yttertakstomme;
Konstruktiva system;BF;Floor structure;Structural system terminating a space downwards;Floor;Undergolvstomme;bärverk i en undergolvskonstruktion;Installationsgolv
Konstruktiva system;BG;Ceiling structure;structural system in a ceiling construction;Ceiling;Undertakstomme;bärverk i en undertakskonstruktion;
Konstruktiva system;BH;Routing structure;structural system supporting supply- or distribution system;Cable routing;Kanalisation;bärverk som stödjer eller bär upp försörjnings- eller distributionssystem;Kabelstegar, kabelbrunnar, kabelrännor, kabelskydd, kontaktledningsstolpar, kraftverksstolpar, portaler, rörbryggor, rörkulvertar, skyddsrör, stolpar
Konstruktiva system;BHB;Open routing structure;routing structure indoors, visible;;Öppen kanalisation;kanalisation inomhus, synlig;
Konstruktiva system;BHC;Hidden routing structure;routing structure indoors, hidden;;Dold kanalisation;kanalisation inomhus, dold;
Konstruktiva system;BHD;Routing structure in air;routing structure outdoors above ground;;Kanalisation i luft utomhus;kanalisation utomhus i luft;
Konstruktiva system;BHE;Routing structure in ground;routing structure outdoors in ground;;Kanalisation i mark;kanalisation utomhus i mark;
Konstruktiva system;BJ;Pillar-beam structure;structural system of joint and interworking truss structures for wall and slab;;Pelar-balkstomme;bärverk av förenade och samverkande stänger för väggar och bjälklag;
Konstruktiva system;BL;Bridge substructure;structural system below a bridge superstructure;Bridge substructure;Brounderbyggnad;bärverk under broöverbyggnad;Bryggunderbyggnad
Konstruktiva system;BLB;End support;bridge substructure at end of bridge;;Ändstöd;brounderbyggnad i broände;landfäste
Konstruktiva system;BLC;Mid support;bridge substructure between ends of bridge;disc support, pillar support, single-pillar support, multi-pillar support;Mellanstöd;brounderbyggnad mellan broändar;skivstöd, pelarstöd, enpelarstöd, flerpelarstöd
Konstruktiva system;BM;Tunnel structure;structural system in excavation for tunnel and rock chamber;;Bärande huvudsystem i tunnel;bärverk i utgrävning för tunnel och bergrum;
Konstruktiva system;BMB;Tunnel wall reinforcement;rock tunnel structure by pointwise reinforcement;;Bergförstärkning;bärande huvudsystem i berg genom punktvis förstärkning;
Konstruktiva system;BMC;Tunnel lining;rock tunnel structure by permanent cladding;;Betonglining;bärande huvudsystem i berg genom fast inklädnad;
Konstruktiva system;BN;Trough construction;structural system in tunnel entrance sealing construction;;Trågkonstruktion;bärverk i tätande konstruktion vid tunnelmynning;
Konstruktiva system;BP;Tunnel portal construction;structural system surrounding tunnel opening;;Tunnelportalskonstruktion;bärverk runt öppning i tunnel;
Konstruktiva system;C;Ground surface construction system;constructive system forming ground;;Markkonstruktion;konstruktivt system som formar mark;
Konstruktiva system;CA;Subgrade construction;ground surface construction system which gives support to other constructions;;Undergrundskonstruktion;markkonstruktion som ger stöd till andra konstruktioner;Undergrund, underbyggnad
Konstruktiva system;CAB;Ground reinforcement;subgrade construction by strengthening soil or rock mass;;Förstärkt terrass;terrasskonstruktion genom förstärkning av jord- eller bergmassa;
Konstruktiva system;CAC;Piling;subgrade construction by piling;;Pålad terrass;terrasskonstruktion genom pålning;
Konstruktiva system;CB;Ground superstructure construction;Ground surface construction system for hard covered outdoor space;;Överbyggnad för konstruktion;markkonstruktion för hårdgjort utrymme utomhus;
Konstruktiva system;CBB;Flexible ground superstructure for traffic area;ground superstructure for hardscape area without hydraulically bonded layers;;Flexibel hårdgjord överbyggnad;"överbyggnad för trafikeringsområde utan hydrauliskt bundet
lager";
Konstruktiva system;CBC;Stiff ground superstructure for traffic area;ground superstructure for hardscape area with at least one hydraulically bonded layer;;Styv hårdgjord överbyggnad;"överbyggnad för trafikeringsområde med minst ett hydrauliskt bundet
lager";
Konstruktiva system;CC;Traffic island construction;Ground surface construction system for traffic separation area;;Trafikseparerande konstruktion;;
Konstruktiva system;CD;Side area construction;Ground surface construction system for safety zone for traffic;;Överbyggnad för sidoområde;;
Konstruktiva system;CE;Railway embankment construction;Ground surface construction system for railway track support;;Banunderbyggnad;markkonstruktion som utgör underlag för banöverbyggnad;
Konstruktiva system;CEB;Railway superstructure on embankment;railway superstructure on dedicated filling;;Banunderbyggnad på banvall;banunderbyggnad på egen fyllning;
Konstruktiva system;CEC;Railway superstructure in street;railway superstructure in road construction;;Banunderbyggnad i gata;banunderbyggnad i vägöverbyggnad;
Konstruktiva system;CED;Railway superstructure in tunnel;railway superstructure in rock tunnel;;Banunderbyggnad i tunnel;banunderbyggnad i bergtunnel;
Konstruktiva system;CEE;Railway superstructure on bridge;railway superstructure in rock tunnel;;Banunderbyggnad på bro;banunderbyggnad i på brobjälklag;
Konstruktiva system;CF;Vegetation area construction;Ground surface construction system for vegetation areas;Plant bed;Överbyggnad för vegetationsyta;markkonstruktion för plantering;Växtbädd
Konstruktiva system;CFB;Soft vegetation area construction;vegetation area construction, non-trafficable;;Mjuk växtbädd;överbyggnad för vegetationsyta, ej trafikerbar ;
Konstruktiva system;CFC;Hard vegetation area construction;vegetation area construction, trafficable;;Hård växtbädd;överbyggnad för vegetationsyta, trafikerbar ;Skelettjord
Konstruktiva system;CFD;Infiltration vegetation area construction;vegetation area construction for daywater management;;Växtbädd för infiltration;överbyggnad för vegetationsyta för omhändertagande av dagvatten;
Konstruktiva system;CFE;Tree pit construction;vegetation area construction with frame under ground;;Trädgrop;överbyggnad för vegetationsyta med ramkonstruktion under mark;
Konstruktiva system;CFF;Raised vegetation area construction;vegetation area construction with frame on ground;;Planteringslåda;överbyggnad för vegetationsyta med ramkonstruktion över mark;
Konstruktiva system;CG;Water management construction;ground construction system for water management;;Vattenbyggnadskonstruktion;markkonstruktion för hantering av vatten;
Konstruktiva system;CGB;Flexible water management construction;flexible water managemant construction guiding or storing open water;Dam;Flexibel konstruktion för öppen vattenhantering;flexibel vattenbyggnadskonstruktion som leder eller lagrar öppet vatten;Amfibiedamm, plaskdamm, prydnadsdamm, vattenmagasin
Konstruktiva system;CGC;Stiff water management construction;stiff water managemant construction guiding or storing open water;Pool;Styv konstruktion för öppen vattenhantering;styv vattenbyggnadskonstruktion som leder eller lagrar öppet vatten;Bassäng, fontän, pool
Konstruktiva system;CGD;Infiltration construction;water management construction for guiding water into ground;;Konstruktion för infiltration;vattenbyggnadskonstruktion som leder vatten in i mark;Markbädd
Konstruktiva system;CGE;Ground water management construction;water management construction for sealing against and guiding of groundwater;Hydraulic sealing construction tunnel sealing construction, sealing board;Konstruktion för tätning och vattenavledning;vattenbyggnadskonstruktion för tätning mot och avledning av vatten i mark;Hydrauliskt tätande konstruktion tunneltätningskonstruktion, tätspont
Konstruktiva system;CGF;Water tunnel construction;water management construction for guiding water under ground;Inlet tunnel;Konstruktion för vattentunnel;vattenbyggnadskonstruktion för ledning av vatten under mark;Tilloppstunnel
Konstruktiva system;CH;Pipe ditch system;Ground surface construction system for refilled media excavation;;Ledningsförläggning;markkonstruktion för mediatekniskt system;Ledningsgrav
Konstruktiva system;CHB;Trenched media construction;ground media construction in filled trench;;Schaktad ledningsförläggning;ledningsförläggning i schaktat utrymme;
Konstruktiva system;CHC;Trenchless media construction;ground media construction without trenching;;Schaktfri ledningsförläggning;ledningsförläggning utan schaktning;
Konstruktiva system;CJ;"Foundation and ground
support construction";Ground surface construction system which carries vertical or horizontal load;;Fundament- och markstödskonstruktion;markkonstruktion som bär vertikal eller horisontell last;
Konstruktiva system;CK;Terrain stairway/Terrain ramp construction;Ground surface construction system which connects spaces at different levels;;Terrängtrapps-/terrängrampskonstruktion;markkonstruktion som stegvis förbinder utrymmen på olika nivåer;
Konstruktiva system;CL;Terrain wall construction;Ground surface construction system which separates spaces;;Terrängmurskonstruktion;markkonstruktion som avskiljer utrymmen;
Konstruktiva system;D;Railway track construction system;constructive system which guides rail bound vehicles;Track construction;Banöverbyggnad;konstruktivt system som leder spårbundna fordon;Spårkonstruktion
Konstruktiva system;DA;Ballasted railway track construction;Railway track construction system with two rails, on ballast;;Ballasterad banöverbyggnad;banöverbyggnad med två räler, med ballast;
Konstruktiva system;DB;Non-ballasted railway track construction;Railway track construction system with two rails, without ballast;;Ballastfri banöverbyggnad;banöverbyggnad med två räler, utan ballast;
Konstruktiva system;DC;Monorail construction;Railway track construction system with one rail;;Monorail;banöverbyggnad med en skena;
Konstruktiva system;H;Supply system;constructive system supplying consumption;;Försörjande system;konstruktivt system som försörjer konsumtion;
Konstruktiva system;HA;Gas and air supply system;supply system for process gas;Gas system, air system, vacuum, clean air, pressurized air, energy gas, medical gas, steam;Gas- och luftförsörjningssystem;försörjande system för gas eller teknisk luft;
Konstruktiva system;HB;Liquid supply system;supply system for liquid;Water system, fuel system;Vätskeförsörjningssystem;försörjande system för vätska;
Konstruktiva system;HC;Cooling supply system;supply system for cooling;Cooling plant, cooling exchanger system;Kylförsörjningssystem;försörjande system för kyla;Kylaggregat, Kylmaskin, Fjärrkylanläggning
Konstruktiva system;HD;Heating supply system;supply system for heating;Heat production system, heat exchanger system, mixer;Värmeförsörjningssystem;försörjande system för värme;Värmevattenförsörjning, Fjärrvärmeverk, Solfångare
Konstruktiva system;HE;Combined heating and cooling supply system;supply system for cooling and heating;Heat pump plant;Kombinerad kyl- och värmeförsörjningssystem;försörjande system för kombinerad kyla och värme;Värmepump, Direktexpansion, DX-system
Konstruktiva system;HEB;Direct expansion system;combined heating and cooling supply system with directly acting evaporator;DX system;Direktexpansionssystem;kombinerad kyl- och värmeförsörjningssystem med direkt verkande evaporator;
Konstruktiva system;HEC;Liquid system in heating and cooling supply system;combined heating and cooling supply system with indirectly acting evaporator;;Vätskesystem i kyl- och värmepumpsystem;kombinerad kyl- och värmeförsörjningssystem med indirekt verkande evaporator;
Konstruktiva system;HF;Ventilation supply system;supply system for ventilation;Ventilation unit;Ventilationsförsörjningssystem;försörjande system för mekaniskt luftflöde;
Konstruktiva system;HG;Power supply system;supply system for electrical energy;Electrical supply system, emergency supply system, backup supply system;Elkraftförsörjningssystem;försörjande system för elkraft;
Konstruktiva system;HGB;Primary electrical power supply system;electrical power supply system for regular operation;;Högspänningsförsörjningsystem;elkraftförsörjningssystem för ≥ 1 kV AC eller ≥ 1,5 kV DC;
Konstruktiva system;HGC;Electrical emergency power supply system;electrical power supply system temporarily backing up regular system;;Mellanspänningsförsörjningssystem;elkraftförsörjningssystem för 1 kV - 50 kV;
Konstruktiva system;HGD;Uninterrupted electrical power supply system;electrical power supply system for continuous operation during disturbed external input;;Lågspänningsförsörjningssystem;elkraftförsörjningssystem för < 1 kV AC eller < 1,5 kV DC;
Konstruktiva system;HGE;Uninterrupted electrical power supply system;electrical power supply system for continuous operation during disturbed external input;;Klenspänningsförsörjningssystem;elkraftförsörjningssystem för ≤ 50 V eller ≤ 120 V DC;
Konstruktiva system;HH;Lighting system;supply system for lighting;Safety lighting, emergency lighting system, cleaners' lighting, daylight system;Belysningsförsörjningssystem;försörjande system för belysning;
Konstruktiva system;HHB;Electric lighting system;lighting system with electric light sources;;Elektriskt belysningsförsörjningssystem;belysningsförsörjningssystem med elektriska ljuskällor;
Konstruktiva system;HHC;Daylight system;lighting system with daylight sources;;Dagsljusförsörjningssystem;belysningsförsörjningssystem med dagsljuskällor;
Konstruktiva system;HHD;Gaslight system;lighting system with gaslight sources;;Gasljusförsörjningssystem;belysningsförsörjningssystem med gasljuskällor;
Konstruktiva system;HHE;Liquid fuel light system;lighting system with liquid fuel light sources;;Vätskeljusförsörjningssystem;belysningsförsörjningssystem med vätskeljuskällor;fotogenljus
Konstruktiva system;HJ;Signal supply system;supply system for signals;Utilities boundary point, data network, booking system, telephone exchange, PABX;Signalförsörjningssystem;försörjande system för signaler;Detektorer
Konstruktiva system;J;Transporting system;constructive system which brings something from one place to another;;Transporterande system;konstruktivt system som för något från en plats till en annan;
Konstruktiva system;JA;Gas distribution system;transporting system for gas;Gas distribution;Gasdistributionssystem;transporterande system för gas;
Konstruktiva system;JB;Water distribution system;transporting system for water;Water distribution, watering system;Vattendistributionssystem;transporterande system för vatten;
Konstruktiva system;JBB;Non-circulating water distribution system;non-circulating water distribution system;;Icke cirkulerande vattendistributionssystem;vattendistributionssystem med icke cirkulerande flöde;
Konstruktiva system;JBC;Circulating water distribution system;circulating water distribution system;;Cirkulerande vattendistributionssystem;vattendistributionssystem med cirkulerande flöde;
Konstruktiva system;JBD;Empty pipe system;water distribution system for temporary use;fire extinguishing line;Tomrörssystem;vattendistributionssystem för tillfälligt bruk;brandsläckningsledning
Konstruktiva system;JC;Chemical distribution system;transporting system for flammable or other chemical liquids;Alcohol system;Kemikaliedistributionssystem;transporterande system för brandfarliga vätskor och andra kemikalier;
Konstruktiva system;JD;Liquids outflow system;transporting system for liquid waste;Wastewater collection, drainage water system, rainwater system;Avloppssystem;transporterande system för avloppsvatten;
Konstruktiva system;JDB;Non-pressurised liquids outflow system;liquids outflow system with non-pressurized pipes;;Avloppssystem med självfall;avloppssystem med ej trycksatt flöde;
Konstruktiva system;JDC;Pressurized liquids outflow system;liquids outflow system with pressurized pipes;;Trycksatt avloppssystem;avloppssystem med trycksatt flöde;
Konstruktiva system;JE;Solids outflow system;transporting system for solid waste;Waste management system, laundry suction system;Avfallstransportsystem;transporterande system för avfall;
Konstruktiva system;JEB;Waste suction system;solids outflow system for solid objects by suction;;Sugsystem för avfall;avfallshanteringssystem genom undertrycksatta ledningar;sopsug
Konstruktiva system;JEC;Waste throw system;solids outflow system for solid objects by gravitation;;Störtsystem för avfall;avfallshanteringssystem genom gravitation;sopnedkast
Konstruktiva system;JED;Waste transport system;solids outflow system for solid objects by mechanical transport;;Mekaniskt transportsystem för avfall;<;
Konstruktiva system;JF;Cooling distribution system;transporting system for cooling;Cooling distribution;Kyldistributionssystem;transporterande system för kyla;
Konstruktiva system;JFB;Primary cooling distribution system;cooling distribution system before heat exchange;;Primärt kyldistributionssystem;kyldistributionssystem före värmeväxling;
Konstruktiva system;JFC;Secondary cooling distribution system;cooling distribution system after heat exchange;;Sekundärt kyldistributionssystem;kyldistributionssystem efter värmeväxling;
Konstruktiva system;JG;Heating distribution system;transporting system for heating;Heating distribution;Värmedistributionssystem;transporterande system för värme;Shuntgrupp
Konstruktiva system;JGB;Primary warming water distribution system;water heating distribution system from production to consumer connection point;District heating network, heating primary;Primärt distributionssystem för värmevatten;vattenburet värmedistributionssystem från produktion till förbindelsepunkt för abonnent;Fjärrvärmenät, värme primär
Konstruktiva system;JGC;Secondary warming water distribution system;water heating distribution system from consumer connection point to consumption;Hot water coils, water radiator system;Sekundärt distributionssystem för värmevatten;vattenburet värmedistributionssystem från förbindelsepunkt för abonnent till konsumtion;Värmevattenslingor, vattenradiatorsystem
Konstruktiva system;JGD;Electrical heating system for indoor space;electrical heating distribution system for enclosed space;Electric heating coils;Elvärmesystem för utrymme inomhus;elektriskt värmedistributionssystem för slutet utrymme;Elvärmeslingor
Konstruktiva system;JGE;Electrical heating system for equipment;electrical heating distribution system for equipment;Electric heating system in track system, bus heating system, alternating heating system;Elvärmesystem för utrustning;elektriskt värmedistributionssystem för utrustning;Elvärmesystem i spåranläggning, strömskenevärmeanläggning, växelvärmeanläggning
Konstruktiva system;JGF;Electrical ground heating system;electrical heating distribution system in ground superstructure;;Elvärmesystem för mark;elektriskt värmedistributionssystem i marköverbyggnad;
Konstruktiva system;JGG;Air heating distribution system;air heating distribution system;;Distributionssystem för luftvärme;luftburet värmedistributionssystem;
Konstruktiva system;JGH;Steam heating distribution system;steam heating distribution system;;Distributionssystem för ångvärme;ångburet värmedistributionssystem;
Konstruktiva system;JGJ;Oil heating distribution system;oil heating distribution system;;Distributionssystem för hetoljevärme;oljeburet värmedistributionssystem;
Konstruktiva system;JGK;Heating recycling system;heating distribution system for recycling;;Värmeåtervinningssystem;värmedistributionssystem för återvinning;
Konstruktiva system;JH;Combined heat and cooling distribution system;transporting system for cooling and heating;Combined system;Kombinerat kyl- och värmedistributionssystem;transporterande system för kyla och värme;
Konstruktiva system;JJ;Air distribution system;transporting system for air;Air system, fresh air system, supply air system, smoke extraction system, fire ventilation;Luftdistributionssystem;transporterande system för luft;
Konstruktiva system;JJB;Supply air system;air distribution system supplying treated outside air or circulated air;;Tilluftssystem;ventilationssystem som tillför behandlad uteluft eller cirkulationsluft;
Konstruktiva system;JJC;Extract air system;air distribution system evacuating used air;;Frånluftssystem;ventilationssystem som leder bort och använd luft;
Konstruktiva system;JJD;Return air system;air distribution system returning extract air to a group of rooms ;;Återluftssystem;ventilationssystem som återför frånluft till en grupp av rum;
Konstruktiva system;JJE;Impulse fan system;air distribution system without ducts;;Impulsfläktssystem;ventilationssystem utan kanaler;
Konstruktiva system;JJF;Outdoor air system;air distribution system transporting outside air to treatment;;Uteluftssystem;ventilationssystem som leder uteluft till behandling;
Konstruktiva system;JJG;Exhaust air system;air distribution system transporting extract air after treatment to the outside;;Avluftssystem;ventilationssystem som leder frånluft efter behandling till det fria;
Konstruktiva system;JJH;Air treatment system;air distribution system treating supply air;;Efterbehandlingssystem;ventilationssystem som behandlar tilluft;
Konstruktiva system;JJJ;Air replacement system;air distribution system replacing polluted air with outside air;;Ersättningsluftssystem;ventilationssystem som ersätter förorenad luft med uteluft;
Konstruktiva system;JK;Power distribution system;transporting system for electrical energy;Electrical distribution system, electrical system, power supply system,;Elkraftdistributionssystem;transporterande system för elektrisk energi;
Konstruktiva system;JKB;Electrical power distribution system for high voltage;electrical power distribution system for > 1 kV AC or 1,5 kV DC;;Elkraftdistributionssystem för högspänning;elkraftdistributionssystem för ≥ 1 kV AC eller ≥ 1,5 kV DC;
Konstruktiva system;JKC;Electrical power distribution system for mid voltage;electrical power distribution system for 1 kV - 50 kV;;Elkraftdistributionssystem för mellanspänning;elkraftdistributionssystem för 1 kV - 50 kV;
Konstruktiva system;JKD;Electrical power distribution system for low voltage;electrical power distribution system for< 1 kV AC or < 1,5 kV DC;;Elkraftdistributionssystem för lågspänning;elkraftdistributionssystem för < 1 kV AC eller < 1,5 kV DC;
Konstruktiva system;JKE;Electrical power distribution system for very low voltage;electrical power distribution system for  ≤ 50 V or ≤ 120 V DC;;Elkraftdistributionssystem för klenspänning;elkraftdistributionssystem för ≤ 50 V eller ≤ 120 V DC;
Konstruktiva system;JL;Signal distribution system;transporting system for signals;Computer network, telephone network, emergency telephone network, paging system, busy signaling system, booking system, queue management system;Signaldistributionssystem;transporterande system för signaler;
Konstruktiva system;JLB;Wired electromagnetic communication network;wired electromagnetic signal distribution system;Computer network, telephone system, helpline system, emergency telephone system, paging system, busy marking, booking system, queue signal system, hearing loop, intercom;Trådat elektromagnetiskt signaldistributionssystem;trådburet elektromagnetiskt signaldistributionssystem;Datornätverk, telefonsystem, hjälptelefonsystem, nödtelefonsystem, personsökningssystem, upptagetmarkering, bokningssystem, kösignalsystem, hörslinga, snabbtelefon
Konstruktiva system;JLC;Wired optical communication network;wired optical signal distribution system;Fiber network;Trådat optiskt signaldistributionssystem;trådburet optiskt signaldistributionssystem;Fibernät
Konstruktiva system;JLD;Wireless communication network;radio wave signal distribution system;Mobile phone system, paging system;Trådlöst signaldistributionssystem;radiovågsburet signaldistributionssystem;Mobiltelefonsystem, personsökningssystem
Konstruktiva system;JLE;Telecoil system;signal distribution system with inductive transmission;;Induktivt signaldistributionssystem;signaldistributionssystem med induktiv överföring;Hörslinga
Konstruktiva system;JM;Passenger transportation system;transporting system for persons;Elevator, escalator, travellator;Transporterande system;transporterande system för personer och/eller gods;Rullramp, rullande trottoar, skidlift, gondolbana, gondollift, Personhiss, Rullstolshiss, Smalhiss, Tillsynshiss, personhiss, Trapphiss, kuggstångsbana
Konstruktiva system;JMB;Elevator system;passenger and goods transportation system for vertical movement in containers;Furniture lift, Passenger lift, Wheelchair lift, Narrow lift, Small goods lift, Bed lift, Supervised lift, Stair lift, Goods lift, Passenger lift;Hissystem;person- och godstransportsystem för vertikal rörelse i behållare;Möbelhiss, Personhiss, Rullstolshiss, Smalhiss, Småvaruhiss, Sänghiss, Tillsynshiss, Trapphiss, Varuhiss, Varupersonhiss
Konstruktiva system;JMC;Escalator system;passenger transportation system for diagonal movement with treads;;Rulltrappssystem;persontransportsystem för diagonal rörelse med trappsteg;
Konstruktiva system;JMD;Travellator system;passenger and goods transportation system for horizontal or diagonal movement of persons;Conveyor belt system;Rullrampsystem;person- och godstransportsystem för personer i horisontell eller diagonal rörelse;Rullbandssystem
Konstruktiva system;JME;Conveyor belt system;passenger and goods transportation system for horizontal or diagonal movement of goods;Luggage facility;Rullbanesystem;person- och godstransportsystem för gods i horisontell eller diagonal rörelse;Bagageanläggning
Konstruktiva system;JMF;Cableway system;passenger and goods transportation system for cable born horizontal or diagonal movement in containers;;Linbanesystem;person- och godstransportsystem för linburen horisontell eller diagonal rörelse i behållare;
Konstruktiva system;JMG;Lift system;passenger and goods transportation system for vertical and horisontal movement;;Lyftsystem;person- och godstransportsystem för vertikal och horisontellr örelse;Telfer, Travers
Konstruktiva system;JMH;Pneumatic dispatch system;passenger and goods transportation system for movement in containers in pipes;;Rörpostsystem;person- och godstransportsystem för rörelse i behållare i rör;
Konstruktiva system;JMJ;AGV system;passenger and goods transportation system with automated guided vehicles;Automated Guided Vehicles;AGV-system;person- och godstransportsystem med automatiskt styrda fordon;Automated Guided Vehicles
Konstruktiva system;JN;Goods transportation system;transporting system for solid goods or packets;Freight elevator, hoist, crane, conveyor belt, letter shoot;Godstransportsystem;transporterande system för gods;Löpande band, varuhiss, telfer, travers, AGV, bagageanläggning, transportband, Småvaruhiss, bergbana, traverskrav, krankonstruktion, lyftanordning
Konstruktiva system;JP;Daylight distribution system;transporting system for daylight;daylight system;Ljusdistributionssystem;transporterande system för ljus;Fiberoptik, dagsljusdistribution
Konstruktiva system;K;Treatment system;constructive system which provides treatment;;Behandlande system;konstruktivt system som behandlar något;
Konstruktiva system;KA;Solar screening system;Treatment system limiting or excluding solar heat gain;Solar screening, blinding;Klimatavskärmande system;behandlande system som begränsar eller utestänger klimatpåverkan;Solavskärmning, snöskydd, vindskydd, regnskydd, bullerskydd
Konstruktiva system;KB;Opening control system;treatment system for automatic control of openings;Smoke ventilation, natural ventilation;Öppningskontrollerande system;behandlande system för automatisk kontroll av öppningar;Brandgasventilation, rökgasventilation, rökluckor, självdragsventilation
Konstruktiva system;KBB;Smoke gas ventilation system;opening control system for ventilation of gases caused by combustion or pyrolysis;Fire gas ventilation System, flue gas ventilation;Rökgasevakueringsssystem;öppningskontrollerande system för ventilation av gaser orsakade av förbränning eller pyrolys;Brandgasventilationssystem, rökgasventilation
Konstruktiva system;KBC;Natural draught system;opening control system for non mechanical ventilation;;Självdragssystem;öppningskontrollerande system för icke mekanisk ventilation;
Konstruktiva system;KC;Filter system;Treatment system for separating solid particles from liquid or air flow;Filtration equipment;Renande system;behandlande system för rening av vätske- eller luftflöde;
Konstruktiva system;KCB;Mechanical cleaning system;cleaning system using mechanical processes;;Mekaniskt reningssystem;renande system genom mekaniska processer;
Konstruktiva system;KCC;Chemical cleaning system;cleaning system using chemical processes;Biological cleaning system;Kemiskt reningssystem;renande system genom kemiska och biologiska processer;Biologiskt reningssystem
Konstruktiva system;KD;Separator system;treatment system for separating substances;Separation unit;Separerande system;behandlande system för separation av ämnen;
Konstruktiva system;KDB;Mechanical separator system;separator system using mechanical processes;;Mekaniskt separerande system;separerande system genom mekaniska processer;
Konstruktiva system;KDC;Chemical separator system;separator system using chemical processes;;Kemiskt separerande system;separerande system genom kemiska och biologiska processer;
Konstruktiva system;KE;Mixing system;treatment system for adding substances;Chemicals system, water treatment equipment, water treatment system, blending system;Blandande system;behandlande system för tillsats av ämnen;
Konstruktiva system;KF;Pump system;treatment system for increasing pressure in a flow of liquid;Wet well, pumping equipment;Pumpsystem;behandlande system för tryckökning i ett vätskeflöde;
